,county,year,area (HA),production (MT),yield (MT/HA),crop
582,Taita Taveta,2012,,,0.9,dry beans
583,Tana River,2012,11.0,4.0,0.4,dry beans
584,Tharaka Nithi,2012,,,0.6,dry beans
585,Trans Nzoia,2012,,,0.4,dry beans
586,Turkana,2012,,,0.0,dry beans
587,Uasin Gishu,2012,,,0.2,dry beans
588,Vihiga,2012,,,0.5,dry beans
589,Wajir,2012,,,0.0,dry beans
590,West Pokot,2012,,,0.3,dry beans
591,Baringo,2013,,,0.9,dry beans
592,Bomet,2013,,,0.5,dry beans
593,Bungoma,2013,,,1.0,dry beans
594,Busia,2013,,,1.6,dry beans
595,Elgeyo Marakwet,2013,,,0.9,dry beans
596,Embu,2013,,,1.1,dry beans
597,Garissa,2013,,,0.0,dry beans
598,Homa Bay,2013,,,0.8,dry beans
599,Isiolo,2013,263.0,363.0,1.4,dry beans
600,Kajiado,2013,,,0.5,dry beans
601,Kakamega,2013,,,0.6,dry beans
602,Kericho,2013,,,0.3,dry beans
603,Kiambu,2013,,,0.4,dry beans
604,Kilifi,2013,133.0,30.0,0.2,dry beans
605,Kirinyaga,2013,,,0.5,dry beans
606,Kisii,2013,,,0.8,dry beans
607,Kisumu,2013,,,0.9,dry beans
608,Kitui,2013,,,0.4,dry beans
609,Kwale,2013,682.0,368.0,0.5,dry beans
610,Laikipia,2013,,,9.7,dry beans
611,Lamu,2013,825.0,299.0,0.4,dry beans
612,Machakos,2013,,,0.8,dry beans
613,Makueni,2013,,,0.1,dry beans
614,Mandera,2013,,,0.0,dry beans
615,Marsabit,2013,550.0,323.0,0.6,dry beans
616,Meru,2013,,,0.7,dry beans
617,Migori,2013,,,0.4,dry beans
618,Mombasa,2013,22.0,12.0,0.5,dry beans
619,Murang'a,2013,,,0.7,dry beans
620,Nairobi,2013,700.0,,1.9,dry beans
621,Nakuru,2013,,,0.6,dry beans
622,Nandi,2013,,,0.8,dry beans
623,Narok,2013,,,0.2,dry beans
624,Nyamira,2013,,,0.8,dry beans
625,Nyandarua,2013,,,1.1,dry beans
626,Nyeri,2013,,,0.7,dry beans
627,Samburu,2013,546.0,373.0,0.7,dry beans
628,Siaya,2013,,,0.7,dry beans
629,Taita Taveta,2013,,485.0,0.2,dry beans
630,Tana River,2013,25.0,9.0,0.4,dry beans
631,Tharaka Nithi,2013,,,1.0,dry beans
632,Trans Nzoia,2013,,,0.4,dry beans
633,Turkana,2013,,,0.0,dry beans
634,Uasin Gishu,2013,,,0.2,dry beans
635,Vihiga,2013,,,1.0,dry beans
636,Wajir,2013,,,0.0,dry beans
637,West Pokot,2013,,,0.4,dry beans
638,Baringo,2014,,,0.9,dry beans
639,Bomet,2014,,,0.7,dry beans
640,Bungoma,2014,,,1.2,dry beans
641,Busia,2014,,,1.0,dry beans
642,Elgeyo Marakwet,2014,,,0.9,dry beans
643,Embu,2014,,,0.8,dry beans
644,Garissa,2014,,,0.0,dry beans
645,Homa Bay,2014,,,0.7,dry beans
646,Isiolo,2014,,39.0,0.0,dry beans
647,Kajiado,2014,,,0.4,dry beans
648,Kakamega,2014,,,0.9,dry beans
649,Kericho,2014,,,0.8,dry beans
650,Kiambu,2014,,,0.5,dry beans
651,Kilifi,2014,34.0,5.0,0.1,dry beans
652,Kirinyaga,2014,,,0.4,dry beans
653,Kisii,2014,,,0.8,dry beans
654,Kisumu,2014,,,0.8,dry beans
655,Kitui,2014,,,0.6,dry beans
656,Kwale,2014,284.0,291.0,1.0,dry beans
657,Laikipia,2014,,,0.9,dry beans
658,Lamu,2014,,,0.0,dry beans
659,Machakos,2014,,,0.3,dry beans
660,Makueni,2014,,,0.2,dry beans
661,Mandera,2014,,,0.0,dry beans
662,Marsabit,2014,627.0,821.0,1.3,dry beans
663,Meru,2014,,,0.3,dry beans
664,Migori,2014,,,0.5,dry beans
665,Mombasa,2014,,,0.0,dry beans
666,Murang'a,2014,,,0.7,dry beans
667,Nairobi,2014,676.0,,1.8,dry beans
668,Nakuru,2014,,,0.5,dry beans
669,Nandi,2014,,,0.8,dry beans
670,Narok,2014,,,0.1,dry beans
671,Nyamira,2014,,,0.7,dry beans
672,Nyandarua,2014,,,0.5,dry beans
673,Nyeri,2014,,,0.7,dry beans
674,Samburu,2014,840.0,564.0,0.7,dry beans
675,Siaya,2014,,,0.7,dry beans
676,Taita Taveta,2014,,546.0,0.2,dry beans
677,Tana River,2014,,,0.0,dry beans
678,Tharaka Nithi,2014,,,0.9,dry beans
679,Trans Nzoia,2014,,,0.4,dry beans
680,Turkana,2014,,,0.0,dry beans
681,Uasin Gishu,2014,,,0.3,dry beans
682,Vihiga,2014,,,0.3,dry beans
683,Wajir,2014,,,0.0,dry beans
684,West Pokot,2014,,,0.5,dry beans
685,Baringo,2015,,,0.7,dry beans
686,Bomet,2015,,,1.3,dry beans
687,Bungoma,2015,,,0.8,dry beans
688,Busia,2015,,,1.3,dry beans
689,Elgeyo Marakwet,2015,,,1.1,dry beans
690,Embu,2015,,,1.2,dry beans
691,Garissa,2015,78.0,40.0,0.5,dry beans
692,Homa Bay,2015,,,0.5,dry beans
693,Isiolo,2015,250.0,165.0,0.7,dry beans
694,Kajiado,2015,,,0.6,dry beans
695,Kakamega,2015,,,0.8,dry beans
696,Kericho,2015,,,1.0,dry beans
697,Kiambu,2015,,,0.9,dry beans
698,Kilifi,2015,,75.0,0.0,dry beans
699,Kirinyaga,2015,,,0.7,dry beans
700,Kisii,2015,,,0.9,dry beans
701,Kisumu,2015,,,0.6,dry beans
702,Kitui,2015,,,0.6,dry beans
703,Kwale,2015,363.0,267.0,0.7,dry beans
704,Laikipia,2015,,,0.9,dry beans
705,Lamu,2015,,,0.4,dry beans
706,Machakos,2015,,,0.7,dry beans
707,Makueni,2015,,,0.5,dry beans
708,Mandera,2015,29.0,14.0,0.5,dry beans
709,Marsabit,2015,402.0,159.0,0.4,dry beans
710,Meru,2015,,,0.9,dry beans
711,Migori,2015,,,0.6,dry beans
712,Mombasa,2015,8.0,3.0,0.4,dry beans
713,Murang'a,2015,,,0.6,dry beans
714,Nairobi,2015,673.0,484.0,0.7,dry beans
715,Nakuru,2015,,,0.8,dry beans
716,Nandi,2015,,,0.9,dry beans
717,Narok,2015,,,1.1,dry beans
718,Nyamira,2015,,,0.7,dry beans
719,Nyandarua,2015,,,0.4,dry beans
720,Nyeri,2015,,,0.7,dry beans
721,Samburu,2015,,,0.9,dry beans
722,Siaya,2015,,,0.6,dry beans
723,Taita Taveta,2015,,966.0,0.7,dry beans
724,Tana River,2015,40.0,21.0,0.5,dry beans
725,Tharaka Nithi,2015,,,0.9,dry beans
726,Trans Nzoia,2015,,,0.7,dry beans
727,Turkana,2015,40.0,12.0,0.3,dry beans
728,Uasin Gishu,2015,,,0.6,dry beans
729,Vihiga,2015,,,0.4,dry beans
730,Wajir,2015,,,0.3,dry beans
731,West Pokot,2015,,,0.7,dry beans
732,Baringo,2016,,,0.4,dry beans
733,Bomet,2016,,,1.6,dry beans
734,Bungoma,2016,,,0.7,dry beans
735,Busia,2016,,,0.7,dry beans
736,Elgeyo Marakwet,2016,,,0.8,dry beans
737,Embu,2016,,,0.7,dry beans
738,Garissa,2016,40.0,13.0,0.3,dry beans
739,Homa Bay,2016,,,0.8,dry beans
740,Isiolo,2016,203.0,112.0,0.6,dry beans
741,Kajiado,2016,,,0.5,dry beans
742,Kakamega,2016,,,0.9,dry beans
743,Kericho,2016,,,0.4,dry beans
744,Kiambu,2016,,,0.8,dry beans
745,Kilifi,2016,82.0,20.0,0.2,dry beans
746,Kirinyaga,2016,,,0.5,dry beans
747,Kisii,2016,,,0.8,dry beans
748,Kisumu,2016,,,0.8,dry beans
749,Kitui,2016,,,0.1,dry beans
750,Kwale,2016,542.0,116.0,0.2,dry beans
751,Laikipia,2016,,,0.6,dry beans
752,Lamu,2016,,810.0,0.3,dry beans
753,Machakos,2016,,,0.3,dry beans
754,Makueni,2016,,,0.4,dry beans
755,Mandera,2016,21.0,6.0,0.3,dry beans
756,Marsabit,2016,578.0,141.0,0.2,dry beans
757,Meru,2016,,,0.6,dry beans
758,Migori,2016,,,0.7,dry beans
759,Mombasa,2016,9.0,4.0,0.4,dry beans
760,Murang'a,2016,,,0.5,dry beans
761,Nairobi,2016,694.0,402.0,0.6,dry beans
762,Nakuru,2016,,,0.5,dry beans
763,Nandi,2016,,,1.0,dry beans
764,Narok,2016,,,0.9,dry beans
765,Nyamira,2016,,,0.5,dry beans
766,Nyandarua,2016,,,0.6,dry beans
767,Nyeri,2016,,,0.3,dry beans
768,Samburu,2016,,,1.3,dry beans
769,Siaya,2016,,,0.5,dry beans
770,Taita Taveta,2016,,,0.5,dry beans
771,Tana River,2016,27.0,24.0,0.9,dry beans
772,Tharaka Nithi,2016,,,0.7,dry beans
773,Trans Nzoia,2016,,,0.5,dry beans
774,Turkana,2016,36.0,9.0,0.3,dry beans
775,Uasin Gishu,2016,,,0.6,dry beans
776,Vihiga,2016,,,0.4,dry beans
777,Wajir,2016,,756.0,0.1,dry beans
778,West Pokot,2016,,,1.0,dry beans
779,Baringo,2012,820.0,,3.6,rice
780,Bungoma,2012,24.0,65.0,2.7,rice
781,Busia,2012,,,2.3,rice
782,Elgeyo/Marakwet,2012,14.0,29.0,2.1,rice
783,Embu,2012,62.0,223.0,3.6,rice
784,Garissa,2012,70.0,252.0,3.6,rice
785,Homabay,2012,310.0,,4.2,rice
786,Kakamega,2012,218.0,542.0,2.5,rice
787,Kilifi,2012,494.0,967.0,2.0,rice
788,Kirinyaga,2012,,,5.9,rice
789,Kisumu,2012,,,4.3,rice
790,Kwale,2012,,,3.6,rice
791,Lamu,2012,653.0,,2.8,rice
792,Meru,2012,5.0,25.0,5.0,rice
793,Migori,2012,230.0,828.0,3.6,rice
794,Murang'a,2012,296.0,874.0,3.0,rice
795,Nyeri,2012,91.0,242.0,2.7,rice
796,Siaya,2012,,,4.3,rice
797,Taita/Taveta,2012,356.0,920.0,2.6,rice
798,Tana River,2012,,,4.9,rice
799,Tharaka-Nthi,2012,15.0,50.0,3.3,rice
800,Vihiga,2012,162.0,319.0,2.0,rice
801,Baringo,2013,900.0,,4.2,rice
802,Bungoma,2013,135.0,446.0,3.3,rice
803,Busia,2013,964.0,,2.0,rice
804,Elgeyo/Marakwet,2013,12.0,16.0,1.3,rice
805,Embu,2013,13.0,30.0,2.3,rice
806,Garissa,2013,25.0,34.0,1.4,rice
807,Homabay,2013,478.0,,3.7,rice
808,Kakamega,2013,48.0,182.0,3.8,rice
809,Kilifi,2013,,,0.5,rice
810,Kirinyaga,2013,,,6.4,rice
811,Kisumu,2013,,,3.8,rice
812,Kwale,2013,,,4.3,rice
813,Lamu,2013,68.0,175.0,2.6,rice
814,Meru,2013,7.0,40.0,5.7,rice
815,Migori,2013,562.0,170.0,0.3,rice
816,Murang'a,2013,120.0,95.0,0.8,rice
817,Nyeri,2013,120.0,395.0,3.3,rice
818,Siaya,2013,,,2.7,rice
819,Taita/Taveta,2013,248.0,,5.3,rice
820,Tana River,2013,,,6.1,rice
821,Tharaka-Nthi,2013,28.0,64.0,2.3,rice
822,Vihiga,2013,46.0,94.0,2.0,rice
823,Baringo,2014,740.0,,3.0,rice
824,Bungoma,2014,115.0,293.0,2.5,rice
825,Busia,2014,964.0,,2.0,rice
826,Elgeyo/Marakwet,2014,14.0,20.0,1.4,rice
827,Embu,2014,5.0,15.0,3.0,rice
828,Garissa,2014,30.0,64.0,2.1,rice
829,Homabay,2014,523.0,,3.4,rice
830,Kakamega,2014,104.0,396.0,3.8,rice
831,Kilifi,2014,119.0,283.0,2.4,rice
832,Kirinyaga,2014,,,4.0,rice
833,Kisumu,2014,,,4.1,rice
834,Kwale,2014,,,3.4,rice
835,Lamu,2014,491.0,,2.8,rice
836,Meru,2014,17.0,45.0,2.6,rice
837,Migori,2014,681.0,,2.1,rice
838,Murang'a,2014,103.0,261.0,2.5,rice
839,Nyeri,2014,103.0,261.0,2.5,rice
840,Siaya,2014,,,3.1,rice
841,Taita/Taveta,2014,265.0,,5.3,rice
842,Tana River,2014,,,3.1,rice
843,Tharaka-Nthi,2014,28.0,74.0,2.7,rice
844,Vihiga,2014,54.0,116.0,2.1,rice
845,Baringo,2015,301.0,843.0,2.8,rice
846,Bungoma,2015,135.0,411.0,3.0,rice
847,Busia,2015,,,4.0,rice
848,Elgeyo/Marakwet,2015,33.0,96.0,2.9,rice
849,Embu,2015,8.0,24.0,3.0,rice
850,Garissa,2015,66.0,161.0,2.4,rice
851,Homabay,2015,162.0,410.0,2.5,rice
852,Kakamega,2015,166.0,362.0,2.2,rice
853,Kilifi,2015,228.0,698.0,3.1,rice
854,Kirinyaga,2015,,,4.2,rice
855,Kisumu,2015,,,3.8,rice
856,Kwale,2015,279.0,980.0,3.5,rice
857,Lamu,2015,376.0,840.0,2.2,rice
858,Meru,2015,11.0,32.0,2.9,rice
859,Migori,2015,189.0,486.0,2.6,rice
860,Murang'a,2015,294.0,739.0,2.5,rice
861,Nyeri,2015,82.0,250.0,3.0,rice
862,Siaya,2015,209.0,451.0,2.2,rice
863,Taita/Taveta,2015,270.0,,4.2,rice
864,Tana River,2015,,,3.5,rice
865,Tharaka-Nthi,2015,380.0,,3.5,rice
866,Vihiga,2015,,,3.2,rice
867,Baringo,2016,300.0,563.0,1.9,rice
868,Bungoma,2016,195.0,465.0,2.4,rice
869,Busia,2016,,,4.0,rice
870,Elgeyo/Marakwet,2016,23.0,63.0,2.7,rice
871,Embu,2016,6.0,20.0,3.3,rice
872,Garissa,2016,65.0,175.0,2.7,rice
873,Homabay,2016,164.0,321.0,2.0,rice
874,Kakamega,2016,171.0,573.0,3.4,rice
875,Kilifi,2016,216.0,550.0,2.5,rice
876,Kirinyaga,2016,,,3.5,rice
877,Kisumu,2016,,,3.4,rice
878,Kwale,2016,311.0,666.0,2.1,rice
879,Lamu,2016,440.0,800.0,1.8,rice
880,Meru,2016,10.0,38.0,3.8,rice
881,Migori,2016,216.0,583.0,2.7,rice
882,Murang'a,2016,230.0,593.0,2.6,rice
883,Nyeri,2016,60.0,190.0,3.2,rice
884,Siaya,2016,111.0,272.0,2.5,rice
885,Taita/Taveta,2016,286.0,720.0,2.5,rice
886,Tana River,2016,,,3.8,rice
887,Tharaka-Nthi,2016,310.0,,3.4,rice
888,Vihiga,2016,,,2.0,rice
