,county,year,area (HA),production (MT),yield (MT/HA),crop
96,Bungoma,2014,,,1.0,sorghum
97,Busia,2014,,,1.3,sorghum
98,Elgeyo/Marakwet,2014,769.0,829.0,1.1,sorghum
99,Embu,2014,,,1.0,sorghum
100,Garissa,2014,35.0,34.0,1.0,sorghum
101,Homabay,2014,,,1.6,sorghum
102,Isiolo,2014,45.0,24.0,0.5,sorghum
103,Kajiado,2014,55.0,31.0,0.6,sorghum
104,Kakamega,2014,830.0,774.0,0.9,sorghum
105,Kericho,2014,957.0,,1.8,sorghum
106,Kiambu,2014,0.0,0.0,0.0,sorghum
107,Kilifi,2014,363.0,98.0,0.3,sorghum
108,Kirinyaga,2014,276.0,139.0,0.5,sorghum
109,Kisii,2014,113.0,515.0,4.6,sorghum
110,Kisumu,2014,,,1.7,sorghum
111,Kitui,2014,,,0.6,sorghum
112,Kwale,2014,153.0,60.0,0.4,sorghum
113,Laikipia,2014,57.0,26.0,0.5,sorghum
114,Lamu,2014,273.0,276.0,1.0,sorghum
115,Machakos,2014,,,0.8,sorghum
116,Makueni,2014,,,0.3,sorghum
117,Mandera,2014,961.0,125.0,0.1,sorghum
118,Marsabit,2014,13.0,4.0,0.3,sorghum
119,Meru,2014,,,0.7,sorghum
120,Migori,2014,,,1.0,sorghum
121,Mombasa,2014,0.0,0.0,0.0,sorghum
122,Murang'a,2014,204.0,155.0,0.8,sorghum
123,Nairobi ,2014,913.0,111.0,0.1,sorghum
124,Nakuru,2014,,,1.2,sorghum
125,Nandi,2014,181.0,307.0,1.7,sorghum
126,Narok,2014,,,0.8,sorghum
127,Nyamira,2014,93.0,88.0,0.9,sorghum
128,Nyandarua,2014,35.0,25.0,0.7,sorghum
129,Nyeri,2014,204.0,155.0,0.8,sorghum
130,Samburu,2014,10.0,12.0,1.2,sorghum
131,Siaya,2014,,,0.7,sorghum
132,Taita/Taveta,2014,474.0,75.0,0.2,sorghum
133,Tana River,2014,131.0,78.0,0.6,sorghum
134,Tharaka-Nthi,2014,,,0.5,sorghum
135,Trans Nzoia,2014,189.0,216.0,1.1,sorghum
136,Turkana,2014,,,1.0,sorghum
137,Uasin Gishu,2014,,,1.0,sorghum
138,Vihiga,2014,358.0,406.0,1.1,sorghum
139,Wajir,2014,440.0,80.0,0.2,sorghum
140,West Pokot,2014,560.0,482.0,0.9,sorghum
141,Baringo,2015,,924.0,0.8,sorghum
142,Bomet,2015,888.0,,1.6,sorghum
143,Bungoma,2015,,,1.0,sorghum
144,Busia,2015,,,1.1,sorghum
145,Elgeyo/Marakwet,2015,764.0,946.0,1.2,sorghum
146,Embu,2015,,,1.6,sorghum
147,Garissa,2015,44.0,32.0,0.7,sorghum
148,Homabay,2015,,,2.0,sorghum
149,Isiolo,2015,125.0,62.0,0.5,sorghum
150,Kajiado,2015,46.0,93.0,2.0,sorghum
151,Kakamega,2015,,,1.9,sorghum
152,Kericho,2015,866.0,,1.9,sorghum
153,Kiambu,2015,114.0,110.0,1.0,sorghum
154,Kilifi,2015,64.0,64.0,1.0,sorghum
155,Kirinyaga,2015,253.0,304.0,1.2,sorghum
156,Kisii,2015,135.0,222.0,1.6,sorghum
157,Kisumu,2015,,,1.4,sorghum
158,Kitui,2015,,,0.8,sorghum
159,Kwale,2015,151.0,131.0,0.9,sorghum
160,Laikipia,2015,609.0,,1.7,sorghum
